Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year,label
29677,2021.20-219-t01,petitioner,"John G. Roberts, Jr.","Well, what did the other 46 -- I mean, you're just saying they haven't said anything about it?","<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29678,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",What measure of emotional distress damages does your client seek in this case?,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,coherent
29679,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.","Well, what damage did she suffer here? Can you not provide some information about what she is trying to recover?","<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,coherent
29680,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.","No, I understand the nature of your claim. So you just can't tell me anything more than the -- the numbers that you just gave me?","<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29681,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.","Yeah. Okay, I understand. You're not going to provide the numbers. And I understand it's at 12(b)(6). What invoked the Spending Clause here?","<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29682,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",Could -- could the Respondent have lawfully refused to provide treatment on the ground that the patient was going to pay for the treatment using Medicare? Medicare is what's involved here?,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29683,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",What is the -- what is this fact -- what is the fact-specific inquiry?,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29684,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",You have a claim under the Rehabilitation Act and the Affordable Care Act?,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
29685,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",And what invokes the -- what is the federal Spending Clause basis for the claim that you are asserting?,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,coherent
29686,2021.20-219-t01,petitioner,"Samuel A. Alito, Jr.",And what are the federal funds? That's what I'm asking.,"<speaker>Andrew Rozynski</speaker><text>Mr. Chief Justice, and may it please the Court: The Fifth Circuit categorically prohibited emotional distress damages in all instances under Spending Clause statutes prohibiting discrimination. Based on Franklin and Barnes, that decision is wrong. Franklin held that compensatory damages are available, and Barnes reaffirmed that holding. Emotional distress damages are the most common and often the only form of compensatory damage remedy for victims of intentional discrimination. Barnes held that remedies are available under the statutes here. They are traditionally available under contract law. Emotional distress damages are indeed recoverable in breach-of-contract cases for the type of conduct at issue here. As Section 353 of the Second Restatement and all the leading treatises cited in Barnes explain, when a contract's breach is of such a kind that serious emotional disturbance was a particularly likely result, then recovery for emotional disturbance is allowed. Premier has not and cannot dispute that serious emotional disturbance is a particularly likely result of intentional discrimination. Premier asks this Court to disregard the Restatement rule, but there is no basis to do so. The particularly-likely-result concept has been long a fixture of the law, and virtually all courts agree that in contract cases involving places of public accommodations, improper denial of access traditionally gives rise to emotional distress damages. For all these reasons, the Court should reverse the Fifth Circuit because emotional distress damages are available under Spending Clause legislation at issue here. With that, I welcome any questions from the Court and will move to the balance of my argument.</text>",2021,incoherent
