Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year
571,2005.04-1067-t01,respondent,Clarence Thomas,"Mr. Dreeben, is it... is this case materially different if she simply ran upstairs, grabbed the straw, brought it down, and handed it to the police officer? It's, in effect, the same thing, isn't it?","<speaker>Michael R. Dreeben</speaker><text>Thank you, Mr. Chief Justice, and may it please the Court-- The law of consent searches is governed by a determination of what is reasonable for the police to do in a particular circumstance, and it starts from the premise that consent is not a disfavored species in the law, that cooperation with law enforcement is a good thing and should be encouraged. The right of the cotenant, in this case, to consent stems from her common authority, which is independent of his and allows her to serve valuable social interests, as well as interests that represents her own personal interest. Many of these cases arise not among couples who are harmonious, but among couples in which there is some degree of tension, and the spouse who consents in these situations has an independent interest in ensuring that she can call upon the protection of the law.</text>",2005
572,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","What about the telephone call between a husband and wife, and the wife tells the police, ""Listen in on this call""? She's consented to the monitoring of the conversation, the husband has not. Maybe he even begins the call by saying, ""I... don't let anybody else listen to this. "" It's clear that that is admissible, isn't it?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
573,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","--I was just going to say, it just reflects the expectation of privacy. And when you do live with someone else, you compromise your individual privacy interest to that extent. We know that you compromise it to the extent that if you happen not to be there, and that person says, ""Sure, come on in and search. "" that's going to bind you, as well. Why is it... why do you not compromise the expectation to the extent of giving the other person the right to consent?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
574,2005.04-1067-t01,petitioner,Clarence Thomas,"The... but this was not an uncabined search. That's my problem. What you're... what you're... the bottom, you're saying to us, is that it's not unreasonable... an unreasonable search if she went upstairs and brought the straw down, right?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
575,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","You talk about that tie. Your approach applies in the case... a dormitory, you have a common room, there are ten rooms off of it, nine people say, ""Sure, come on in and search. "" and the one person says, ""No"". That one person exercises a veto over a search of the common area?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
576,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","--to that case? Your case is that, if one out of ten who share the common room says to the police, ""You may not come in"", that controls?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
577,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","So, can I just take the next step in my hypothetical? The wife and the two adult children who live in the home say, ""Come on in"", and the husband says, ""No"". What happens then?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
578,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","Reasonably, the person realizes he would be outvoted?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
579,2005.04-1067-t01,petitioner,"John G. Roberts, Jr.","So, if he thinks, ""Look, I've been having a bad time with my wife. "" ""I think she's going to consent and let the police in if I'm not. "" --then his objection shouldn't control?",<speaker>Paula K. Smith</speaker><text>Mr.--</text>,2005
580,2005.04-980-t01,petitioner,"John G. Roberts, Jr.","Counsel, I was confused by your answer to Justice O'Connor's question. Do you think the... we should review the California Supreme Court's harmless error analysis, or should we undertake a Brecht analysis?","<speaker>Jane N. Kirkland</speaker><text>Thank you. Mr. Chief Justice, and may it please the Court-- Whether a capital sentencing statute is categorized as ""weighing"" or ""nonweighing"" determines how courts assess the impact of an invalid death eligibility factor on a jury's sentence selection. To decide whether a statute is ""weighing"" or ""nonweighing"", we look to the function, if any, of an eligibility factor in the statute's sentence selection process. In a ""weighing"" scheme, as this Court first stated in Zant, a jury is specifically instructed to weigh the statutory eligibility factors, along with any mitigation, to choose the sentence. In a ""nonweighing"" scheme, the eligibility factors have no role above the role of ""all other sentencing evidence"". California is a ""nonweighing"" State, for two primary reasons. First, the only reference whatsoever to 11 open ended sentencing factors is in its sentencing factor (a), but that reference has no significance, because, under the language of the statute and the holdings of the California Supreme Court, factor (a) means the jury is to consider, if it's relevant, the facts and circumstances of the offenses, including the facts and circumstances that underlie the eligibility factors.</text>",2005
