Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year
530,2021.20-1472-t01,petitioner,Clarence Thomas,"Ms. Sherry, why would Congress permit the Tax Court to take into -- to consider an untimely action but then not allow it to enjoin a levy action?","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
531,2021.20-1472-t01,petitioner,Sonia Sotomayor,"-- the Chief just said that ""matter"" referred to determination in his question, because that's logical, isn't it? ""Matter"" suggests a noun, and the closest antecedent noun is ""determination."" Yet -- and, in fact, if you read Section 6330(d)(3), it provides that the IRS appeals office shall retain jurisdiction with respect to any determination made under this section. So the statute by its own terms in another provision is making clear that jurisdiction is tied to determination, not petition. The 30-day period, the 30-day limitation, is tied to the petition, not to the determination, correct?","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
532,2021.20-1472-t01,petitioner,"Samuel A. Alito, Jr.",Were you finished? What do you make of the fact that this reference to jurisdiction is in a parenthetical?,"<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
533,2021.20-1472-t01,petitioner,Brett M. Kavanaugh,"Because I think this is somewhat different contextually than some of the other provisions we've had over the years because, here, if you miss the time limit, you're not boxed out entirely, as the government points out. You could pay and -- and sue for a refund. So there is that avenue for proceeding. And there's also -- maybe not applicable to this case, but in many of the cases covered by this -- also the opportunity for the -- the pre-assessment determination as well. So it seems to me contextually Congress has a scheme here where there are other paths for someone to proceed even if you miss the deadline. What's your response to that?","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
534,2021.20-1472-t01,petitioner,Brett M. Kavanaugh,What about paying and -- and suing for a refund? Is that always available?,"<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
535,2021.20-1472-t01,petitioner,Neil Gorsuch,"Ms. Sherry, if I -- if I might, speaking of equity, you -- you argue in the second part of your argument about -- about the necessity for equitable tolling here, how it's appropriate. And I understand your -- your -- your points about the -- the -- the statutory language. But we normally think of equitable tolling, I -- I thought, as a traditional common law rule that we don't assume Congress displaces lightly. It legislates against the backdrop of the common law. But, here, we don't have a court of law. The Tax Court, you can call it an Article I court, one might call it an Article II agency, but, whatever it is, it's not an Article III court. So to what extent does that presumption about the common law and rules applicable to courts transfer over, or do we even need to decide that question?","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
536,2021.20-1472-t01,petitioner,Neil Gorsuch,"The whole Article I court thing is kind of funny, isn't it, right? I mean, in Congress --","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
537,2021.20-1472-t01,petitioner,Neil Gorsuch,"But the bankruptcy one, I mean, they're adjuncts, right, to Article III, and, you know, at least they're somewhere knocking around, you know, one -- one could say. Here, there's no -- there's a lot less relationship to -- to -- to -- to Article III. But -- but -- but fine. Can you just address -- I got your point. It's a good one. The -- the second part of that question is, do we need to address whether equitable tolling exists, or do we need to merely allow for that possibility for the Tax Court to resolve that question?","<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
538,2021.20-1472-t01,petitioner,Neil Gorsuch,So let me see if I've got the argument. I'm sorry to interrupt. But that Congress has decided that we should treat it like a court even if it isn't a court and therefore should -- we should continue to do so here?,"<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
539,2021.20-1472-t01,petitioner,Elena Kagan,Can I take you back to the jurisdictional question and just ask what would it take to convert this into a jurisdictional provision?,"<speaker>Melissa Arbus Sherry</speaker><text>Mr. Chief Justice, and may it please the Court: This Court has repeatedly held that time limits are rarely jurisdictional and that if Congress wants to make them jurisdictional, it has to speak clearly. Section 6330(d)(1) does not have the needed clarity. The first clause reads like an ordinary statute of limitations. It says what the taxpayer may do, and it says nothing about the Tax Court's jurisdiction. The second clause does speak to jurisdiction, but the only reference back to the first is through the two words ""such matter."" Now we think ""such matter"" refers to a petition to the Tax Court for review of a CDP determination. The Commissioner agrees, but he says it also refers to the 30-day deadline to file that petition. Our reading is more natural. It stops at the closest reasonable antecedent, and it uses the word ""matter"" as it's ordinarily understood. The Commissioner's reading requires more work, and it requires this Court to treat the time limit the same as subject matter in the context of subject matter jurisdiction. If nothing else, it is far from clear. The statutory history resolves any doubt. As originally enacted, the same time limit governed the Tax Court and the district courts and it was not jurisdictional. The relevant language has not changed. It has to mean the same thing today as it did in 1998. Congress enacted this collection due process regime in order to protect taxpayers from IRS abuses. It would not have included a rare and harsh jurisdictional deadline to close those courthouse doors, let alone through a vague parenthetical reference to ""such matter."" And equitable tolling easily follows from that. That is the presumption, and it is not overcome here. The limitations period looks just like the one in Irwin, and it looks nothing like the deadlines in Brockamp. The CDP regime is remedial, and it is a place where equity finds a comfortable home. I welcome the Court's questions.</text>",2021
