Unnamed: 0,transcript_id,question_addressee,justice,question_text,opening_statement,year,label,skill_labels_raw
34841,2023.23-108 -t01,respondent,Brett M. Kavanaugh," That  -- that defeats your whole theory --  I'm sorry -- because, if the public act was done, completed, I've done --  we're done with the new zoning reg, we're done with the new school board decision, and then the gratuity, the gift, the thank you arrives, you're still going to prosecute those cases as corrupt under your theory of what ""corruptly"" means, correct?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""testing_boundary_conditions_of_corrupt_intent"",
    ""reasoning"": ""The question tests the limits of the respondent's theory of corrupt intent under Section 666 by presenting a scenario where the public act is completed before the gratuity is offered, and asks if that would still be considered corrupt under their interpretation.""
}"
34843,2023.23-108 -t01,respondent,"Samuel A. Alito, Jr.", So where do you get  -- how does that fit into the statutory language?,"<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""requesting_statutory_language_interpretation"",
    ""reasoning"": ""The question asks the speaker to explain how their argument aligns with the specific language used in the statute, indicating the justice is seeking to understand the connection between the speaker's interpretation and the text of Section 666.""
}"
34844,2023.23-108 -t01,respondent,Elena Kagan," Well,  how -- how about this?  I mean, this statute applies to more than government officials. It applies to pretty much every hospital. It applies to pretty much every university. So let's say billionaire patient comes to a hospital and gets extra special treatment. He gets appointments when nobody else would get it. He gets surgery scheduled when nobody else would. And --  and it's all done because everybody knows he's a billionaire patient, and they're hoping that he'll give an eight-figure gift to the hospital. How about that?  Does that fit?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""applying_statute_to_edge_cases"",
    ""reasoning"": ""The question tests the scope and applicability of Section 666 in a specific scenario, exploring whether the statute would cover situations where individuals or institutions may not be traditional government officials, but still receive preferential treatment with the expectation of future rewards or gifts.""
}"
34845,2023.23-108 -t01,respondent,Elena Kagan, No. I'm just saying they treat him really super nicely because they are very hopeful and  -- that he's going to recompense them for all the special consideration that they've given. Does that fit or does it not fit?,"<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""clarifying_statutory_application"",
    ""reasoning"": ""The question seeks to understand whether a particular scenario, where a person is treated nicely in anticipation of future rewards, falls within the scope of Section 666's prohibition on corruptly soliciting payments with the intent to be rewarded.""
}"
34846,2023.23-108 -t01,respondent,Elena Kagan," Well, but there's a jury that's going to decide whether they're committing wrongdoing or not, and a jury might say that sounds pretty corrupt. And all I'm suggesting is that given that this --  that this statute applies not just to government officials but to pretty much, like, every important institution in America, I mean, that seems quite extraordinary that when you do stuff hoping, thinking it might earn you a big gift, even if it's just for the institution, not to put in your own pocket, that --  that that would land you 10 years in prison?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""assessing_statutory_proportionality_and_fairness"",
    ""reasoning"": ""The question examines the potential consequences of the statute's broad application, considering whether it is fair and proportionate to impose a 10-year prison sentence for actions motivated by the hope of earning a gift, even if not for personal gain, and whether this might lead to unjust outcomes.""
}"
34857,2023.23-108 -t01,respondent,Brett M. Kavanaugh," I mean, what's the jury instruction  -- what  -- what  -- maybe this is a good way to say it. What is the exact wording of the jury instruction on corruptly in your view?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""clarifying_prosecutorial_burden"",
    ""reasoning"": ""The question seeks to understand how the petitioner's interpretation of 'corruptly' would be conveyed to a jury, which is essential in determining the prosecution's burden of proof and the standard for conviction.""
}"
34859,2023.23-108 -t01,respondent,Amy Coney Barrett," Unless it's a corrupt  -- what if  -- what if it's a corrupt, like  -- sorry to pick, you know, on Illinois or Chicago, but what if you're talking about some sort of local unit or a corrupt hospital where that actually is kind of corrupt practice that everyone would agree would be wrongdoin g? Not the donation to the hospital. Talk about something that's more unsavory. Maybe these rewards are just kind of accepted in this small town, and  -- and, you know, you can't use that guideline then that Justice Jackson is talking about about what's standard, because graft could be standard or gratuities c ould be standard even in unsavory cases.","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""considering_edge_cases_and_proposed_exceptions"",
    ""reasoning"": ""The question explores a specific scenario where corrupt practices might be prevalent, and the justices are considering whether the proposed interpretation of Section 666 would be effective in addressing such cases. This involves thinking through potential exceptions and edge cases to better understand the implications of the proposed interpretation.""
}"
34860,2023.23-108 -t01,respondent,Sonia Sotomayor," I see the questions before us as twofold. Does the language of  -- of this 201(c) include a gratuity?  It's very hard for me to think otherwise because the language is pretty clear. So, if it's clear that it includes gratuity, a lot of these questions have to do with what kind of gratuity, and that's where I think  my colleagues are focused on what does the word ""corruptly"" mean. And you are fighting their suggestion that if you limit it to accepting rewards that are unlawful -- I think Justice Gorsuch said, unlawful defined how?  He would say under state law, I think. I don't want to be putting words into his mouth, but I think he would say unlawful by state law. But you want to broaden it. You want to say by ethical rules. But assume we  -- we put  that aside. Can you live with yes, it includes gratuities but only if you define ""corruptly"" as being unlawful, the way that Anderson suggested it went a little more broadly?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""clarifying_statutory_interpretation_options"",
    ""reasoning"": ""The question seeks to understand the possible interpretations of the statutory language, specifically whether it includes gratuities and how to define the term 'corruptly', and asks the respondent to consider alternative approaches to interpreting the statute.""
}"
34863,2023.23-108 -t01,respondent,"Samuel A. Alito, Jr."," Okay. And just to summarize so I understand where you are, you think that ""corruptly"" means moral  -- immoral or wrongful, and it requires knowing, the person must know that what is being done is immoral or wrongful?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""clarifying_legal_definition"",
    ""reasoning"": ""The question seeks to understand and confirm the speaker's interpretation of the term 'corruptly' in the context of Section 666, specifically whether it requires a person to knowingly engage in immoral or wrongful behavior.""
}"
34865,2023.23-108 -t01,respondent,"Samuel A. Alito, Jr."," I  -- I  --  we --  I think we understand that. But we didn't really take this case just to decide whether this case was correctly --  this particular case was correctly decided. We took it to explore the meaning of this provision. Was the jury instruction here on ""corruptly"" correct?","<speaker>Colleen E. Roh Sinzdak</speaker><text> Mr. Chief Justice, and may it please the Court: The federal government needs to ensure the money it appropriates to local governments for public benefits is allocated in a way that maximizes the benefits to its citizens, not the rewards for local officials. Congress, therefore, enacted Section 666 to bar officials from corruptly accepting payments with the intent to be influenced or rewarded in connection with their official duties. Petitioner asks this Court to weaken Section 666's protection for the public fisc by holding that a person does not violate Section 666 when he corruptly solicits a payment with the intent to be rewarded unless he has also agreed to accept the reward beforehand. But that requirement of a beforehand- agreement finds no basis in the statutory text. The plain meaning of ""reward"" readily covers a payment given in return for an official action or decision that is already complete. So a police chief who sends his officers to foil a burglary at a store and then demands the store owner pay him $10,000 for his officers' work, he acts with the intent to be rewarded. A safety inspector who issues a building permit for a dangerous project and then solicits a $30,000 payment acts with the intent to be rewarded. And a mayor who steers a contract for a particular business and then asks that business to pay him $13,000 for the contract acts with the intent to be rewarded, whether or not the contractor agreed to give him the reward before the contract closed. Petitioner's argument to the contrary ignores both the plain meaning of the term ""rewarded"" and the statutory history. In 1984, Congress enacted a flat bar on the acceptance of bribes and gratuities. It was modeled dire ctly on the one in Section 201(c) that applies to federal employees. In 1986, Congress narrowed that bar to carve out a subset of only the most culpable gratuities by adding a corruptly mens rea and an express exception for bona fide salary and benefits paid in the ordinary course of business. Now Congress's textual fix worked. Petitioners haven't pointed to any real -world examples of Section 666 prosecutions for the sort of innocuous gift -giving activity that occurs in the ordinary course of business, and I'm happy to explain why the  -- the two examples in their reply brief really just aren't what they are describing. But the Court should therefore reject Petitioner's invitation to artificially narrow the reach of Section 666. I welcome the Court's questions.</text>",2023,coherent,"{
    ""property"": ""evaluating_trial_procedure_accuracy"",
    ""reasoning"": ""The question is examining the correctness of the jury instruction on 'corruptly' in the specific case, which suggests the Justice is interested in evaluating whether the trial procedure accurately applied the provision.""
}"
