,transcript_id,question_addressee,justice,question_text
0,2024.23-621-t01,petitioner,Clarence Thomas, You --can a consent decree or a default judgment support a prevailing party?
1,2024.23-621-t01,petitioner,Clarence Thomas, But I thought your argument hinged on a court ruling in favor of  -- on the merits in favor of the prevailing party?
2,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," What do you do with the formulation by your friend which is the question is whether they got as much relief as they needed?  I wonder why that doesn't fit under the ""prevailing party"" language."
3,2024.23-621-t01,petitioner,Elena Kagan," Well, it's  -- it's true that it's only a likelihood of success, but, you know, a likelihood of success is better than an unlikelihood of success, and we have to decide who's going to pay these fees. And this -- these parties were -- they got the likelihood-of-success judgment and they got everything that they wanted in the interim before the legislature asked and -- acted, and when the legislature did act, I mean, it's  almost -- this goes back to Justice Thomas's first question -- it was almost in the nature of a unilateral settlement. It's kind of like a ""we give up,"" right?  So you have all those things. You have the likelihood-of-success finding. You have the fact that they get everything that they need and want in the interim period. And then the whole thing is brought to a close by the legislature saying essentially ""we give up"" in the same way that it would in a consent decree case, even without the final imprimatur of the court. Put all of that together, I mean, why shouldn't fees go the other way here?"
4,2024.23-621-t01,petitioner,Ketanji Brown Jackson," But it's not that determination that's making them subject to the attorney's fees, right?  I mean, what  --what's making them subject, I think, is the fact that before that determination, in this situation, they presented their arguments to the court as to why they believed that they were entitled to relief, and they received that relief. I mean, you -- you  --you talked about the standard of what is a prevailing party, and you originally asserted that it was a party who wins a lawsuit. But the Court has spoken in  -- I don't know how to pronounce this case -- is it Lefemine  --that a plaintiff prevails when a court order grants him actual relief on the merits of his claim that materially alters the  legal relationships between the parties by modifying the defendant's behavior in a way that directly benefits the plaintiff. And, like Justice Sotomayor, I don't understand why a preliminary injunction couldn't satisfy that standard."
5,2024.23-621-t01,petitioner,Ketanji Brown Jackson," When you think about the difference between merits determination and non-merits determinations, we're talking about determinations of, you know, preliminary threshold issues like jurisdiction, right?  A jurisdictional determination is not a determination on the merits. That's what we've said. But, to the extent that under Winter the preliminary injunction touches on what the court thinks about the merits of the actual legal claim, it is making a determination. Now  it's not a final determination on the merits, but it is a determination on the merits."
6,2024.23-621-t01,petitioner,Ketanji Brown Jackson," What about the Chief Justice's example?  In that situation, the absolute purpose is:  The parade is tomorrow, and what I want to do is I want to be in it, says this group. I need a PI."
7,2024.23-621-t01,petitioner,Ketanji Brown Jackson," But didn't Sole open -- leave open that  --that very question?  I thought Sole was about whether parties can be divested of their prevailing party  status if, eventually, it goes on and the court says no, you did not win. But, in the interim, you know, if they win the preliminary injunction, at that moment, they're a prevailing party and they continue to be unless and until they are reversed in a sense by the final judgment?"
8,2024.23-621-t01,petitioner,Elena Kagan," And -- and -- and couldn't a state do that, you know, on -- with respect to all kinds of different cases?  I mean, we had a case a couple  of years ago, New York State gun regulation. You can imagine that sort of thing. It  -- it wasn't the case in that that a preliminary injunction was issued, but imagine that it had been, and then New York State changes its gun law and it leaves everybody kind of high and dry, even  though they've won the only thing that's been at issue and maybe after very extensive litigation, as Justice Alito suggested?"
9,2024.23-621-t01,petitioner,Sonia Sotomayor," I  --I think the problem that I'm having is with your evading the essence of the question, which is that the money has been spent, and the issue is who bears the cost of that expenditure. And why should it be a plaintiff who has received relief, all the relief that he or she wanted, and is now stuck with paying for that when it was the other side and one of its agents, whether agents or co-legislative body or executive body, who gives up and changes a regulation, decides to make a change?  Why shouldn't the plaintiff receive some recompense, assuming, by the way, that they have done enough to receive it?  I mean, one of the things about prevailing party is that it's not automatically granted. There's discretion  in the courts, and the courts decide how much effort you really put into this and adjust the fees according to those factors."
10,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Thank you, counsel. Just briefly, is your position  -- does it encourage wasteful litigation?  In other words, if you're the -- you get your preliminary injunction, but you have a lot of attorney's fees, don't you have an incentive to go forward for a permanent injunction even though, I don't know if there would be mootness issues or standing issues, but isn't that a bad consequence of the position you're advocating?"
11,2024.23-621-t01,petitioner,"Samuel A. Alito, Jr."," If there is very strong evidence that the government changed the law primarily to avoid the payment of fees, could a court, as a matter of equity, award fees?"
12,2024.23-621-t01,petitioner,"Samuel A. Alito, Jr."," Okay. One other question. As I understand it, your position is that a prevailing party must obtain a conclusive ruling on the merit or -- merits or a final judgment in its favor. What is the difference between those two categories?"
13,2024.23-621-t01,petitioner,"John G. Roberts, Jr."," Justice Sotomayor, anything further?  Justice Kagan? Justice Gorsuch? Justice Kavanaugh? Justice Barrett?"
